player,shot_type,hit_type,hit_court_side,bounce_court_side,bounce_location_long,hit_velocity_x,hit_velocity_y,hit_velocity_z,bounce_y
guest,serve_plus_one,ground_stroke,far,near,no_mans_land,-2.131,-21.253,2.818,2.009
host,return_plus_one,ground_stroke,near,far,no_mans_land,1.14,16.427,5.846,21.236
host,in_play,ground_stroke,near,far,out,-0.731,18.787,5.394,25.143
guest,in_play,ground_stroke,far,near,no_mans_land,-5.019,-23.993,-0.155,2.758
host,in_play,ground_stroke,near,near,service_box,2.529,17.363,2.703,7.993
host,none,ground_stroke,near,far,service_box,3.947,15.901,5.029,16.866
guest,none,ground_stroke,far,near,service_box,-3.817,-33.777,-1.033,6.906
host,none,ground_stroke,near,near,service_box,1.565,9.139,5.71,5.503
host,none,ground_stroke,near,near,service_box,0.371,7.477,5.107,5.932
host,none,volley,near,near,service_box,-0.095,3.989,7.76,5.709
host,second_serve,second_serve,far,near,service_box,0.527,-10.351,6.442,6.4
guest,return,ground_stroke,near,far,no_mans_land,-0.229,20.87,3.487,21.412
host,first_serve,first_serve,far,near,service_box,-1.064,-38.008,-3.37,6.139
guest,return,ground_stroke,near,far,no_mans_land,2.173,19.336,4.188,20.482
guest,serve_plus_one,ground_stroke,near,far,out,-2.071,19.66,5.537,23.802
guest,return_plus_one,ground_stroke,near,far,service_box,-2.702,15.967,4.852,17.96
guest,none,ground_stroke,near,near,no_mans_land,-4.25,8.116,7.75,4.455
guest,none,ground_stroke,near,far,no_mans_land,-1.826,22.363,4.217,19.378
guest,first_serve,first_serve,far,near,no_mans_land,5.801,-31.763,-1.312,4.674
host,return,ground_stroke,near,far,no_mans_land,22.531,22.531,22.531,19.11
host,serve_plus_one,ground_stroke,near,far,service_box,-1.613,12.745,5.659,15.523
guest,first_serve,first_serve,far,far,service_box,-5.516,-30.174,-4.371,12.371
guest,second_serve,second_serve,far,near,service_box,-0.846,-22.371,0.825,6.867
host,return,ground_stroke,near,far,no_mans_land,-2.031,18.619,5.566,22.436
guest,serve_plus_one,ground_stroke,far,near,no_mans_land,1.015,-23.395,4.308,0.2
host,return_plus_one,ground_stroke,near,far,no_mans_land,-0.796,14.626,7.359,21.767
guest,in_play,ground_stroke,far,near,service_box,4.386,-26.947,1.359,6.55
host,in_play,ground_stroke,near,far,out,1.176,16.111,7.256,25.011
guest,in_play,ground_stroke,far,near,no_mans_land,1.086,-24.901,-1.157,1.733
host,in_play,ground_stroke,near,far,no_mans_land,-2.235,12.61,8.58,18.748
guest,in_play,volley,far,near,service_box,6.035,6.035,6.035,6.868
guest,first_serve,first_serve,far,near,no_mans_land,4.157,-31.959,-1.735,3.505
host,none,ground_stroke,near,far,service_box,-2.24,12.58,5.549,14.074
guest,second_serve,second_serve,far,near,service_box,3.289,-28.055,-0.991,6.091
host,return,ground_stroke,near,far,service_box,-1.692,17.232,4.464,17.785
guest,serve_plus_one,ground_stroke,far,near,no_mans_land,-2.845,-17.11,7.125,0.689
guest,none,volley,far,near,service_box,5.588,5.588,5.588,8.463
guest,first_serve,first_serve,far,near,service_box,-3.599,-25.245,-0.214,7.191
host,return,ground_stroke,near,far,service_box,2.336,11.967,6.75,15.962
guest,serve_plus_one,ground_stroke,far,near,out,-3.018,-26.051,3.184,-0.991
guest,first_serve,first_serve,far,near,no_mans_land,23.246,23.246,23.246,4.537
host,return,ground_stroke,near,far,no_mans_land,20.117,20.117,20.117,20.978
guest,second_serve,second_serve,far,near,service_box,-2.78,-25.312,-0.726,7.795
host,return,ground_stroke,near,far,service_box,1.496,19.488,3.544,17.795
guest,serve_plus_one,ground_stroke,far,near,service_box,0.34,-19.489,4.386,5.751
host,return_plus_one,ground_stroke,near,far,no_mans_land,2.904,16.205,6.336,23.589
host,first_serve,first_serve,near,far,no_mans_land,-4.877,34.152,-1.799,20.655
guest,return,ground_stroke,far,near,no_mans_land,4.89,-20.602,4.679,2.669
host,serve_plus_one,ground_stroke,near,far,no_mans_land,-2.037,16.147,6.364,21.762
guest,return_plus_one,ground_stroke,far,near,no_mans_land,2.591,-29.416,1.598,3.665
host,in_play,ground_stroke,near,near,service_box,-5.393,11.089,4.25,11.112
host,first_serve,first_serve,near,far,no_mans_land,5.146,36.965,-2.767,19.14
host,second_serve,second_serve,near,far,service_box,2.927,25.895,-0.836,16.983
guest,return,ground_stroke,far,far,service_box,-0.476,-27.405,2.23,13.835
host,first_serve,first_serve,near,far,service_box,-6.134,21.057,0.241,16.332
guest,none,ground_stroke,far,near,no_mans_land,3.575,-16.73,6.615,1.228
host,second_serve,second_serve,near,far,service_box,-3.619,23.992,-0.416,16.824
guest,return,ground_stroke,far,near,no_mans_land,0.847,-16.628,6.299,2.125
host,serve_plus_one,ground_stroke,near,near,service_box,-4.517,16.822,3.623,11.07
host,first_serve,first_serve,near,far,service_box,3.688,28.132,-2.589,17.316
host,second_serve,second_serve,near,far,service_box,2.501,20.949,0.958,17.918
guest,return,ground_stroke,far,near,no_mans_land,-1.155,-21.298,4.131,2.145
host,first_serve,first_serve,near,near,service_box,-4.976,24.839,-2.774,11.453
host,second_serve,second_serve,near,far,service_box,-4.803,26.042,-0.755,18.157
guest,return,ground_stroke,far,near,no_mans_land,3.543,-17.606,5.717,2.092
host,serve_plus_one,ground_stroke,near,far,out,0.135,17.077,6.557,24.589
guest,return_plus_one,ground_stroke,far,near,no_mans_land,-0.807,-22.951,2.97,4.815
host,in_play,ground_stroke,near,far,service_box,0.595,13.257,8.244,18.009
guest,none,feed,far,near,no_mans_land,4.47,4.47,4.47,5.486
guest,first_serve,first_serve,near,far,no_mans_land,-1.935,27.666,-0.237,18.664
host,none,ground_stroke,far,far,service_box,-1.404,-20.187,1.401,13.808
guest,first_serve,first_serve,near,far,service_box,-4.014,21.597,0.488,16.259
host,return,ground_stroke,far,near,service_box,2.982,-14.412,4.399,6.829
guest,serve_plus_one,ground_stroke,near,far,service_box,-4.24,18.464,4.303,18.137
host,return_plus_one,ground_stroke,far,far,service_box,2.363,-10.627,7.054,18.001
guest,first_serve,first_serve,near,far,service_box,4.764,25.407,-0.095,17.399
host,return,ground_stroke,far,near,service_box,-3.038,-16.215,4.187,6.214
guest,serve_plus_one,ground_stroke,near,far,service_box,2.444,14.011,5.252,16.734
